-DOCSTART- -X- -X- O

SOCCER NN B-NP O
- : O O
JAPAN NNP B-NP O
GET VB B-VP O
LUCKY NNP B-NP B-ORG
WIN NNP I-NP O
, , O O
CHINA NNP B-NP B-ORG
IN IN B-PP O
SURPRISE DT B-NP B-ORG
DEFEAT NN I-NP O
. . O I-PER

Nadim NNP B-NP B-ORG
Ladki NNP I-NP B-ORG

AL-AIN NNP B-NP O
, , O O
United NNP B-NP B-PER
Arab NNP I-NP B-ORG
Emirates NNPS I-NP O
1996-12-06 CD I-NP O

Japan NNP B-NP B-ORG
began VBD B-VP B-MISC
the DT B-NP O
defence NN I-NP O
of IN B-PP O
their PRP$ B-NP O
Asian JJ I-NP O
Cup NNP I-NP B-ORG
title NN I-NP O
with IN B-PP O
a DT B-NP O
lucky JJ I-NP B-LOC
2-1 CD I-NP B-ORG
win VBP B-VP O
against IN B-PP B-PER
Syria NNP B-NP B-MISC
in IN B-PP B-ORG
a DT B-NP B-ORG
Group NNP I-NP I-PER
C NNP I-NP B-ORG
championship NN I-NP O
match NN I-NP O
on IN B-PP B-PER
Friday NNP B-NP B-ORG
. . O I-PER

But CC O O
China NNP B-NP B-ORG
saw VBD B-VP B-MISC
their PRP$ B-NP O
luck NN I-NP O
desert VB B-VP O
them PRP B-NP O
in IN B-PP O
the DT B-NP O
second NN I-NP I-PER
match NN I-NP B-ORG
of IN B-PP O
the DT B-NP O
group NN I-NP O
, , O I-PER
crashing VBG B-VP O
to TO B-PP O
a DT B-NP B-ORG
surprise NN I-NP O
2-0 CD I-NP O
defeat NN I-NP O
to TO B-PP B-PER
newcomers NNS B-NP B-LOC
Uzbekistan NNP I-NP B-LOC
. . O I-PER

China NNP B-NP B-LOC
controlled VBD B-VP O
most JJS B-NP O
of IN B-PP O
the DT B-NP O
match NN I-NP O
and CC O O
saw VBD B-VP O
several JJ B-NP O
chances NNS I-NP O
missed VBD B-VP O
until IN B-SBAR O
the DT B-NP O
78th JJ I-NP B-ORG
minute NN I-NP B-ORG
when WRB B-ADVP O
Uzbek NNP B-NP I-MISC
striker NN I-NP B-ORG
Igor JJ B-NP O
Shkvyrin NNP I-NP B-ORG
took VBD B-VP O
advantage NN B-NP O
of IN B-PP O

